rank,name,accuracy,n_features,status,best_kernel,features,n_samples
484,combo_4feat_040,0.528409090909091,4,success,rbf,"nn_min, sdnn, hf_power, hf_peak",880
485,combo_5feat_011,0.5284090909090909,5,success,rbf,"nn_count, nn_mean, triangular_index, hf_power, hf_peak",880
486,combo_4feat_037,0.5272727272727271,4,success,rbf,"nn_count, hf_power, lf_norm, hf_peak",880
487,combo_3feat_013,0.5261363636363636,3,success,rbf,"sdsd, pnn50, lf_peak",880
488,combo_3feat_050,0.5261363636363636,3,success,rbf,"nn_min, sdnn, sdsd",880
489,combo_4feat_022,0.5261363636363636,4,success,rbf,"sdnn, sdsd, rmssd, hf_peak",880
490,combo_6feat_006,0.5261363636363636,6,success,rbf,"nn_count, sdnn, pnn20, pnn50, triangular_index, hf_power",880
491,combo_9feat_019,0.525,9,success,rbf,"nn_count, nn_mean, nn_max, sdnn, pnn50, hf_power, lf_hf_ratio, lf_peak, hf_peak",880
492,combo_4feat_026,0.5238636363636363,4,success,rbf,"nn_mean, nn_max, rmssd, hf_power",880
493,combo_2feat_047,0.5204545454545455,2,success,rbf,"nn_count, lf_peak",880
494,combo_9feat_017,0.5193181818181818,9,success,rbf,"nn_count, nn_mean, nn_min, sdnn, sdsd, rmssd, pnn50, lf_peak, hf_peak",880
495,combo_2feat_037,0.5181818181818182,2,success,rbf,"nn_min, ln_hf",880
496,combo_4feat_006,0.5181818181818182,4,success,rbf,"nn_mean, sdsd, hf_power, lf_peak",880
497,combo_4feat_027,0.5170454545454547,4,success,rbf,"pnn50, hf_norm, lf_peak, hf_peak",880
498,combo_4feat_054,0.5170454545454545,4,success,rbf,"triangular_index, hf_norm, lf_peak, hf_peak",880
499,combo_7feat_021,0.5170454545454545,7,success,rbf,"nn_count, nn_min, pnn50, triangular_index, lf_hf_ratio, lf_peak, hf_peak",880
500,combo_3feat_043,0.5170454545454544,3,success,rbf,"nn_min, hf_power, lf_peak",880
501,combo_2feat_023,0.515909090909091,2,success,rbf,"nn_count, nn_min",880
502,combo_4feat_076,0.5159090909090909,4,success,rbf,"nn_max, rmssd, pnn50, hf_peak",880
503,combo_2feat_032,0.5147727272727274,2,success,rbf,"nn_min, lf_norm",880
504,combo_2feat_039,0.5147727272727274,2,success,rbf,"nn_min, hf_norm",880
505,combo_4feat_005,0.5147727272727273,4,success,rbf,"nn_mean, pnn50, triangular_index, lf_peak",880
506,combo_8feat_007,0.5147727272727273,8,success,rbf,"nn_count, nn_min, nn_max, sdsd, triangular_index, hf_norm, ln_hf, lf_peak",880
507,combo_3feat_003,0.5136363636363637,3,success,rbf,"nn_count, nn_min, lf_hf_ratio",880
508,combo_8feat_006,0.5136363636363637,8,success,rbf,"nn_count, nn_max, sdsd, rmssd, lf_norm, ln_hf, lf_peak, hf_peak",880
509,combo_2feat_030,0.5125,2,success,rbf,"triangular_index, ln_hf",880
510,combo_7feat_025,0.5113636363636365,7,success,rbf,"nn_count, nn_mean, nn_min, sdsd, ln_hf, lf_peak, hf_peak",880
511,combo_5feat_039,0.5113636363636364,5,success,rbf,"nn_count, rmssd, lf_norm, lf_peak, hf_peak",880
512,combo_4feat_082,0.5102272727272726,4,success,rbf,"nn_mean, nn_max, hf_power, ln_hf",880
513,combo_2feat_031,0.5079545454545454,2,success,rbf,"rmssd, hf_peak",880
514,combo_3feat_024,0.506818181818182,3,success,rbf,"nn_count, nn_min, hf_norm",880
515,combo_3feat_004,0.5068181818181818,3,success,rbf,"triangular_index, lf_peak, hf_peak",880
516,combo_4feat_095,0.5068181818181817,4,success,rbf,"nn_count, lf_hf_ratio, lf_peak, hf_peak",880
517,combo_4feat_024,0.5045454545454546,4,success,rbf,"nn_count, nn_mean, lf_hf_ratio, lf_peak",880
518,combo_11feat_007,0.5045454545454546,11,success,rbf,"nn_count, nn_mean, nn_max, sdnn, sdsd, triangular_index, hf_power, lf_hf_ratio, lf_norm, ln_hf, hf_peak",880
519,combo_2feat_017,0.5034090909090909,2,success,rbf,"ln_hf, hf_peak",880
520,combo_2feat_045,0.5034090909090909,2,success,rbf,"nn_max, hf_norm",880
521,combo_5feat_026,0.5034090909090908,5,success,rbf,"nn_min, nn_max, lf_hf_ratio, ln_hf, hf_peak",880
522,combo_13feat_017,0.5022727272727273,13,success,rbf,"nn_count, nn_mean, nn_max, sdnn, sdsd, rmssd, pnn50, triangular_index, hf_power, lf_hf_ratio, ln_hf, lf_peak, hf_peak",880
523,combo_5feat_049,0.5000000000000001,5,success,rbf,"nn_count, nn_max, triangular_index, hf_power, hf_peak",880
524,combo_2feat_029,0.4988636363636364,2,success,rbf,"nn_mean, lf_hf_ratio",880
525,combo_2feat_020,0.49772727272727274,2,success,rbf,"nn_max, lf_hf_ratio",880
526,combo_2feat_050,0.49431818181818193,2,success,rbf,"ln_hf, lf_peak",880
527,combo_3feat_018,0.4943181818181818,3,success,rbf,"nn_count, nn_min, hf_peak",880
528,combo_3feat_040,0.49318181818181817,3,success,rbf,"nn_mean, nn_max, lf_hf_ratio",880
529,combo_5feat_006,0.49318181818181817,5,success,rbf,"nn_count, triangular_index, hf_power, hf_norm, hf_peak",880
530,combo_7feat_007,0.490909090909091,7,success,rbf,"nn_count, nn_min, triangular_index, hf_norm, ln_hf, lf_peak, hf_peak",880
531,combo_5feat_014,0.49090909090909085,5,success,rbf,"nn_mean, rmssd, triangular_index, ln_hf, lf_peak",880
532,combo_6feat_014,0.49090909090909085,6,success,rbf,"nn_mean, nn_min, rmssd, triangular_index, ln_hf, lf_peak",880
533,combo_3feat_023,0.4875,3,success,rbf,"rmssd, triangular_index, hf_power",880
534,combo_5feat_032,0.48522727272727273,5,success,rbf,"nn_max, rmssd, lf_hf_ratio, ln_hf, hf_peak",880
535,combo_3feat_037,0.4784090909090909,3,success,rbf,"nn_mean, nn_max, lf_peak",880
536,combo_3feat_008,0.47727272727272735,3,success,rbf,"nn_mean, nn_min, triangular_index",880
537,combo_4feat_070,0.47727272727272735,4,success,rbf,"rmssd, hf_power, ln_hf, hf_peak",880
538,combo_2feat_014,0.47727272727272724,2,success,rbf,"nn_max, hf_power",880
539,combo_3feat_020,0.4738636363636363,3,success,rbf,"nn_mean, triangular_index, lf_norm",880
540,combo_2feat_011,0.46931818181818186,2,success,rbf,"nn_count, triangular_index",880
541,combo_4feat_096,0.46818181818181814,4,success,rbf,"nn_max, rmssd, lf_peak, hf_peak",880
542,combo_2feat_015,0.46590909090909094,2,success,rbf,"nn_max, ln_hf",880
543,combo_5feat_003,0.4556818181818182,5,success,rbf,"nn_min, nn_max, triangular_index, ln_hf, hf_peak",880
544,combo_3feat_012,0.4409090909090909,3,success,rbf,"triangular_index, ln_hf, hf_peak",880
