subject,sample_idx,true_label,predicted_label,correct,decision_score
esty,87,truth,truth,True,-1.4870482192938828
hilmi,0,lie,lie,True,1.5370974567516305
hilmi,1,lie,lie,True,1.8248488112314343
hilmi,2,lie,lie,True,1.7430026370918579
hilmi,3,lie,lie,True,2.8840340001054594
hilmi,4,lie,lie,True,2.559491940706823
hilmi,5,lie,lie,True,2.7221231202028777
hilmi,6,lie,lie,True,2.866034073924534
hilmi,7,lie,lie,True,2.409129750305222
hilmi,8,lie,lie,True,1.7723439343688945
hilmi,9,lie,lie,True,1.753073980365643
hilmi,10,lie,lie,True,1.5881425841252277
hilmi,11,truth,truth,True,-0.668288086119375
hilmi,12,truth,truth,True,-0.5488162651207843
hilmi,13,truth,truth,True,-0.4739355388152764
hilmi,14,truth,truth,True,-1.178274931996933
hilmi,15,truth,truth,True,-0.7462550825207012
hilmi,16,truth,truth,True,-0.7933563911154885
hilmi,17,truth,truth,True,-1.242574493846441
hilmi,18,truth,truth,True,-1.3280215633638974
hilmi,19,truth,truth,True,-1.5023826331606491
hilmi,20,truth,truth,True,-1.3818748714098235
hilmi,21,truth,truth,True,-1.6267175586550797
hilmi,22,lie,lie,True,0.02605199417946072
hilmi,23,lie,truth,False,-0.23773742630322844
hilmi,24,lie,truth,False,-0.08075749234980653
hilmi,25,lie,lie,True,0.03519526458452074
hilmi,26,lie,lie,True,0.2170558271197173
hilmi,27,lie,lie,True,0.2634844012530858
hilmi,28,lie,lie,True,0.3677455032267426
hilmi,29,lie,lie,True,0.305798911721903
hilmi,30,lie,truth,False,-0.049959501039096826
hilmi,31,lie,truth,False,-0.1962950303227365
hilmi,32,lie,truth,False,-0.3028554468565249
hilmi,33,truth,truth,True,-0.09611207036332123
hilmi,34,truth,truth,True,-0.3680537611636884
hilmi,35,truth,truth,True,-0.38747903724303934
hilmi,36,truth,truth,True,-0.5335493352239494
hilmi,37,truth,truth,True,-0.7573838387099695
hilmi,38,truth,truth,True,-0.5415240489535368
