mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.06052019596099854,0.012166794872230944,0.010106968879699706,0.004481951162089748,15,10.0,rbf,scale,,,"{'selector__k': 15, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5089285714285714,0.49107142857142855,0.5267857142857143,0.5446428571428571,0.4732142857142857,0.5,0.5892857142857143,0.48214285714285715,0.5446428571428571,0.5892857142857143,0.525,0.0394881149776714,11
0.024200582504272462,0.0050759735853748945,0.00212712287902832,0.002860779066022576,6,0.1,poly,scale,0.0,2.0,"{'selector__k': 6, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.5446428571428571,0.5357142857142857,0.5089285714285714,0.5,0.5089285714285714,0.5357142857142857,0.49107142857142855,0.5892857142857143,0.5357142857142857,0.525,0.02789374884252377,11
0.04031367301940918,0.007584759257408963,0.008728671073913574,0.006400662071816827,15,1.0,rbf,0.1,,,"{'selector__k': 15, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5446428571428571,0.48214285714285715,0.5,0.45535714285714285,0.375,0.6071428571428571,0.6071428571428571,0.5089285714285714,0.5982142857142857,0.5714285714285714,0.5249999999999999,0.07174039080928808,13
0.0323561429977417,0.0009699658582106532,0.015526580810546874,0.0010247260584460988,8,10.0,rbf,scale,,,"{'selector__k': 8, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.49107142857142855,0.5089285714285714,0.5178571428571429,0.48214285714285715,0.39285714285714285,0.5178571428571429,0.5446428571428571,0.5089285714285714,0.6517857142857143,0.6160714285714286,0.5232142857142857,0.0676689118624872,14
0.036693906784057616,0.0074343153758877935,0.00379033088684082,0.0049505280851262,22,1.0,poly,scale,1.0,3.0,"{'selector__k': 22, 'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5535714285714286,0.4642857142857143,0.49107142857142855,0.49107142857142855,0.49107142857142855,0.5267857142857143,0.5982142857142857,0.49107142857142855,0.5089285714285714,0.6160714285714286,0.5232142857142856,0.04794900565034841,15
0.02386484146118164,0.0052161169856348825,0.002295565605163574,0.003340893537079105,4,1.0,poly,scale,0.0,2.0,"{'selector__k': 4, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.4375,0.5178571428571429,0.5267857142857143,0.5357142857142857,0.48214285714285715,0.5089285714285714,0.5357142857142857,0.4642857142857143,0.5982142857142857,0.6071428571428571,0.5214285714285714,0.05069667702349424,16
0.037808775901794434,0.007097932257128556,0.008236336708068847,0.007189535158546543,12,1.0,rbf,0.1,,,"{'selector__k': 12, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5803571428571429,0.44642857142857145,0.48214285714285715,0.5,0.39285714285714285,0.5714285714285714,0.6160714285714286,0.49107142857142855,0.5089285714285714,0.6160714285714286,0.5205357142857142,0.07008217661853718,17
0.040605592727661136,0.007378834788775108,0.0041566133499145504,0.005574011518558819,10,10.0,rbf,scale,,,"{'selector__k': 10, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.49107142857142855,0.5,0.5357142857142857,0.4732142857142857,0.42857142857142855,0.48214285714285715,0.5892857142857143,0.44642857142857145,0.6428571428571429,0.5625,0.5151785714285715,0.06351848718511577,18
0.03214704990386963,0.005591176398294504,0.00473175048828125,0.003929927858838624,22,1.0,poly,scale,0.0,2.0,"{'selector__k': 22, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5625,0.45535714285714285,0.4375,0.35714285714285715,0.5089285714285714,0.5803571428571429,0.6339285714285714,0.48214285714285715,0.5267857142857143,0.6071428571428571,0.5151785714285715,0.08056025916755019,18
0.0470177173614502,0.005593623876130205,0.002473878860473633,0.005165208512701042,10,10.0,rbf,0.1,,,"{'selector__k': 10, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.49107142857142855,0.5,0.5357142857142857,0.4732142857142857,0.42857142857142855,0.48214285714285715,0.5892857142857143,0.44642857142857145,0.6428571428571429,0.5625,0.5151785714285715,0.06351848718511577,18
