subject,stage_size,candidate_rank,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
bayu,12,3,0.004158079624176025,0.0014538109500340265,0.0010068416595458984,0.0010068416736601878,1.0,poly,0.01,1.0,2.0,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.7727272727272727,0.7272727272727273,0.5,0.7272727272727273,0.6818181818181819,0.10660035817780521,24
bayu,12,3,0.004385054111480713,0.0006970919007561737,0.0005030035972595215,0.0008712277868434045,1.0,poly,0.1,1.0,2.0,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.8181818181818182,1.0,0.9545454545454546,0.9090909090909091,0.9204545454545455,0.06722817935340472,1
bayu,12,3,0.0015801787376403809,0.0009176144858538116,0.0029290318489074707,0.002156857766595475,1.0,poly,scale,1.0,3.0,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.6363636363636364,1.0,0.7272727272727273,0.5454545454545454,0.7272727272727272,0.17007533576245187,15
bayu,12,3,0.004932701587677002,0.0006507598402676542,0.002384006977081299,0.0011572538743395186,1.0,poly,0.01,1.0,3.0,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.7727272727272727,0.9090909090909091,0.5,0.7272727272727273,0.7272727272727273,0.14728956132745136,11
bayu,12,3,0.0030685067176818848,0.0022467008630307596,0.0022802352905273438,0.0014638787662895555,1.0,poly,0.1,1.0,3.0,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.6363636363636364,1.0,0.5909090909090909,0.5,0.6818181818181818,0.19015000603047172,26
bayu,12,3,0.007132828235626221,0.004089400920427259,0.0024860501289367676,0.001213495720453463,10.0,poly,scale,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,1.0,0.7272727272727273,0.5,0.6818181818181819,0.2058042076849413,24
bayu,12,3,0.0033727288246154785,0.0022652277830611583,0.002667725086212158,0.002118118019247667,10.0,poly,0.01,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.5,1.0,0.5,0.5,0.625,0.21650635094610965,36
bayu,12,3,0.0045168399810791016,0.0007188624799419016,0.0030344128608703613,0.0011072984876213379,10.0,poly,0.1,0.0,2.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.5,0.8636363636363636,0.7272727272727273,0.5,0.6477272727272727,0.15539539012701528,32
bayu,12,3,0.0040277838706970215,0.0010893580004478118,0.0016211867332458496,0.0013735221957021952,10.0,poly,scale,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.9090909090909091,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.6136363636363636,0.1745714942697411,42
bayu,12,3,0.004457592964172363,0.0008048641606093715,0.001993119716644287,0.0009110164118554105,10.0,poly,0.01,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.5,0.9090909090909091,0.5,0.5,0.6022727272727273,0.1771415598649988,45
